"1312.4415","Zaid Towfic","Zaid J. Towfic and Ali H. Sayed","Adaptive Penalty-Based Distributed Stochastic Convex Optimization","13 pages, 1 figure",,"10.1109/TSP.2014.2331615",,"math.OC cs.DC cs.MA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work, we study the task of distributed optimization over a network of
learners in which each learner possesses a convex cost function, a set of
affine equality constraints, and a set of convex inequality constraints. We
propose a fully-distributed adaptive diffusion algorithm based on penalty
methods that allows the network to cooperatively optimize the global cost
function, which is defined as the sum of the individual costs over the network,
subject to all constraints. We show that when small constant step-sizes are
employed, the expected distance between the optimal solution vector and that
obtained at each node in the network can be made arbitrarily small. Two
distinguishing features of the proposed solution relative to other related
approaches is that the developed strategy does not require the use of
projections and is able to adapt to and track drifts in the location of the
minimizer due to changes in the constraints or in the aggregate cost itself.
The proposed strategy is also able to cope with changing network topology, is
robust to network disruptions, and does not require global information or rely
on central processors.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:01:08 GMT""}]","2015-06-18"
"1312.4542","Olaf Hohm","Olaf Hohm and Henning Samtleben","Exceptional Field Theory II: E$_{7(7)}$","24 pages, v2: version published in PRD","Phys. Rev. D 89, 066017 (2014)","10.1103/PhysRevD.89.066017","MIT-CTP/4522","hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We introduce exceptional field theory for the group E_{7(7)}, based on a
(4+56)-dimensional spacetime subject to a covariant section condition. The
`internal' generalized diffeomorphisms of the coordinates in the fundamental
representation of E_{7(7)} are governed by a covariant `E-bracket', which is
gauged by 56 vector fields. We construct the complete and unique set of field
equations that is gauge invariant under generalized diffeomorphisms in the
internal and external coordinates. Among them feature the non-abelian twisted
self-duality equations for the 56 gauge vectors. We discuss the explicit
solutions of the section condition describing the embedding of the full,
untruncated 11-dimensional and type IIB supergravity, respectively. As a new
feature compared to the previously constructed E_{6(6)} formulation, some
components among the 56 gauge vectors descend from the 11-dimensional dual
graviton but nevertheless allow for a consistent coupling by virtue of a
covariantly constrained compensating 2-form gauge field.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:05 GMT""},{""version"":""v2"",""created"":""Tue, 29 Apr 2014 21:07:38 GMT""}]","2014-05-01"
"1312.4543","Danail Obreschkow Dr","Danail Obreschkow and Karl Glazebrook","Fundamental Mass-Spin-Morphology Relation of Spiral Galaxies","Astrophysical Journal accepted 17/01/2014, 19 pages, 16 figures, 1
  table","ApJ 784 26, 2014","10.1088/0004-637X/784/1/26",,"astro-ph.GA astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This work present high-precision measurements of the specific baryon angular
momentum jb, contained in stars, atomic gas, and molecular gas, out to ~10
scale radii, in 16 nearby spiral galaxies of the THINGS sample. The accuracy of
these measurements improves on existing studies by an order of magnitude,
leading to the discovery of a strong correlation between the baryon mass Mb,
jb, and the bulge mass fraction B/T, fitted by
B/T=-(0.34+-0.03)*log(jb/Mb/[1e-7 kpc km/s/Msun])-(0.04+-0.01) on the full
sample range of B/T=0.00-0.32 and Mb/Msun=1e9-1e11. The corresponding relation
for the stellar quantities Ms and js is identical within the uncertainties.
These M-j-B/T relations likely originate from the proportionality between j/M
and the surface density of the disk that dictates its stability against
(pseudo-)bulge formation. Using a CDM model, we can approximately explain
classical scaling relations, such as the fundamental plane of spiral galaxies,
the Tully-Fisher relation, and the mass-size relation, in terms of the M-j-B/T
relation. These results advocate the use of mass and angular momentum as the
most fundamental quantities of spiral galaxies.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:06 GMT""},{""version"":""v2"",""created"":""Sat, 18 Jan 2014 06:49:38 GMT""},{""version"":""v3"",""created"":""Thu, 6 Feb 2014 07:39:30 GMT""}]","2014-06-19"
"1312.4544","Jason Singh Kalirai","Jason S. Kalirai, Paola Marigo, and Pier-Emmanuel Tremblay","The Core Mass Growth and Stellar Lifetime of Thermally Pulsing
  Asymptotic Giant Branch Stars","14 pages, 7 figures, 4 tables. Accepted for publication in ApJ",,"10.1088/0004-637X/782/1/17",,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We establish new constraints on the intermediate-mass range of the
initial-final mass relation by studying white dwarfs in four young star
clusters, and apply the results to study the evolution of stars on the
thermally pulsing asymptotic giant branch (TP-AGB). We show that the stellar
core mass on the AGB grows rapidly from 10% to 30% for stars with $M_{\rm
initial}$ = 1.6 to 2.0 $M_\odot$. At larger masses, the core-mass growth
decreases steadily to $\sim$10% at $M_{\rm initial}$ = 3.4 $M_\odot$. These
observations are in excellent agreement with predictions from the latest TP-AGB
evolutionary models in Marigo et al. (2013). We also compare to models with
varying efficiencies of the third dredge-up and mass loss, and demonstrate that
the process governing the growth of the core is largely the stellar wind, while
the third dredge-up plays a secondary, but non-negligible role. Based on the
new white dwarf measurements, we perform an exploratory calibration of the most
popular mass-loss prescriptions in the literature. Finally, we estimate the
lifetime and the integrated luminosity of stars on the TP-AGB to peak at $t$
$\sim$ 3 Myr and $E$ = 1.2 $\times$ 10$^{10}$ $L_\odot$ yr for $M_{\rm
initial}$ $\sim$ 2 $M_\odot$ ($t$ $\sim$ 2 Myr for luminosities brighter than
the RGB tip at $\log(L/L_{\odot})$ $>$ 3.4), decreasing to $t$ = 0.4 Myr and
$E$ = 6.1 $\times$ 10$^{9}$ $L_\odot$ yr for stars with $M_{\rm initial}$
$\sim$ 3.5 $M_\odot$. The implications of these results are discussed with
respect to general population synthesis studies that require correct modeling
of the TP-AGB phase of stellar evolution.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:07 GMT""}]","2015-06-18"
"1312.4545","Sergi Blanco-Cuaresma","S. Blanco-Cuaresma, C. Soubiran, P. Jofr\'e, U. Heiter","iSpec: An integrated software framework for the analysis of stellar
  spectra","to appear in ASI Conference Series, 2014, Vol. 10 for the Workshop of
  Spectral Libraries held in Lyon, Oct. 2013",,,,"astro-ph.SR astro-ph.GA astro-ph.IM","http://creativecommons.org/licenses/by-nc-sa/3.0/","  iSpec is an integrated spectroscopic software framework suitable for the
creation of spectral libraries such as the Benchmark Stars library and the
determination of atmospheric parameters (i.e. effective temperature, surface
gravity, metallicity) and individual chemical abundances.
  The framework can be used in automatic massive analysis, but it also includes
a user-friendly visual interface that can easily interoperate with other
astronomical applications such as TOPCAT, VOSpec and splat which provide access
to the Virtual Observatory.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:08 GMT""}]","2013-12-18"
"1312.4546","Agnieszka Ry\'s","Agnieszka Ry\'s, Glenn van de Ven, Jes\'us Falc\'on-Barroso","Virgo Cluster and field dwarf ellipticals in 3D - II. Internal dynamics
  points to tidal harassment?","accepted for publication in MNRAS; 17 pages, 13 figures, 3 tables",,"10.1093/mnras/stt2417",,"astro-ph.GA astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present the dynamical analysis of a sample of 12 dwarf elliptical (dE)
galaxies for which we have obtained SAURON large-scale two-dimensional
spectroscopic data. We construct Jeans axisymmetric models and obtain total
dynamical masses enclosed within one effective radius. We use the obtained
values to show that the validity of the dynamical scaling relations of massive
early-type galaxies can be extended to these low-mass systems, except that dEs
seem to contain relatively larger fraction of dark matter in their inner parts.
We then demonstrate that dE galaxies have lower angular momenta than the
present-day analogues of their presumed late-type progenitors and we show that
dE circular velocity curves are steeper than the rotation curves of galaxies
with equal and up to an order of magnitude higher luminosity. This requires a
transformation mechanism that is not only able to lower the angular momentum
but also one that needs to account for increased stellar concentration.
Additionally, we match the dark matter fraction of our galaxies to their
location in the Virgo Cluster and see that galaxies in the cluster outskirts
tend to have a higher dark-to-stellar matter ratio. Transformation due to tidal
harassment is able to expain all of the above, unless the dE progenitors were
already compact and had lower angular momenta at higher redshifts.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:08 GMT""}]","2014-06-19"
"1312.4547","Jonathan Elliott","J. Elliott, H. -F. Yu, S. Schmidl, J. Greiner, D. Gruber, S. Oates, S.
  Kobayashi, B. Zhang, J. R. Cummings, R. Filgas, N. Gehrels, D. Grupe, D. A.
  Kann, S. Klose, T. Kr\""uhler, A. Nicuesa Guelbenzu, A. Rau, A. Rossi, M.
  Siegel, P. Schady, V. Sudilovsky, M. Tanga, and K. Varela","Prompt emission of GRB 121217A from gamma-rays to the NIR","13 pages, 8 figures, 6 tables, accepted for publication in Astronomy
  & Astrophysics",,"10.1051/0004-6361/201322600",,"astro-ph.HE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The mechanism that causes the prompt-emission episode of gamma-ray bursts
(GRBs) is still widely debated despite there being thousands of prompt
detections. The favoured internal shock model relates this emission to
synchrotron radiation. However, it does not always explain the spectral indices
of the shape of the spectrum, often fit with empirical functions.
Multi-wavelength observations are therefore required to help investigate the
possible underlying mechanisms that causes the prompt emission. We present GRB
121217A, for which we were able to observe its near-infrared (NIR) emission
during a secondary prompt-emission episode with the Gamma-Ray Burst Optical
Near-infrared Detector (GROND) in combination with the Swift and Fermi
satellites, covering an energy range of 0.001 keV to 100 keV. We determine a
photometric redshift of z=3.1+/-0.1 with a line-of-sight extinction of A_V~0
mag, utilising the optical/NIR SED. From the afterglow, we determine a bulk
Lorentz factor of Gamma~250 and an emission radius of R<10^18 cm. The
prompt-emission broadband spectral energy distribution is well fit with a
broken power law with b1=-0.3+/-0.1, b2=0.6+/-0.1 that has a break at
E=6.6+/-0.9 keV, which can be interpreted as the maximum injection frequency.
Self-absorption by the electron population below energies of E_a<6 keV suggest
a magnetic field strength of B~10^5 G. However, all the best fit models
underpredict the flux observed in the NIR wavelengths, which also only
rebrightens by a factor of ~2 during the second prompt emission episode, in
stark contrast to the X-ray emission, which rebrightens by a factor of ~100,
suggesting an afterglow component is dominating the emission. We present GRB
121217A one of the few GRBs for which there are multi-wavelength observations
of the prompt-emission period and show that it can be understood with a
synchrotron radiation model.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:09 GMT""}]","2015-06-18"
"1312.4548","Rodger Thompson Prof.","Rodger Thompson, James Green, George Rieke, Dennis Zaritsky. Brant
  Robertson, Glenn Schneider, Daniel Stark, Buell Jannuzi, Dennis Ebbets,
  Michael Kaplan and Renee Gracey","WFIRST Science with a Probe Class Mission","5 pages 3 figures",,,,"astro-ph.IM astro-ph.CO gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  WFIRST is the highest priority space mission of the Decadal review, however,
it is unlikely to begin in this decade primarily due to a anticipated NASA
budget that is unlikely to have sufficient resources to fund such a mission.
For this reason we present a lower cost mission that accomplishes all of the
WFIRST science as described in the Design Reference Mission 1 with a probe
class design. This is effort is motivated by a desire to begin WFIRST in a
timely manner and within a budget that can fit within the assets available to
NASA on a realistic basis. The design utilizes dichroics to form four focal
planes all having the same field of view to use the majority of available
photons from a 1.2 meter telescope.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:09 GMT""}]","2013-12-18"
"1312.4549","Mariana Grana","Gerardo Aldazabal, Mariana Gra\~na, Diego Marqu\'es and Jos\'e A.
  Rosabal","The gauge structure of Exceptional Field Theories and the tensor
  hierarchy","53 pages","JHEP 1404 (2014) 049","10.1007/JHEP04(2014)049",,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We address the construction of manifest U-duality invariant generalized
diffeomorphisms. The closure of the algebra requires an extension of the
tangent space to include a tensor hierarchy indicating the existence of an
underlying unifying structure, compatible with E_{11} and Borcherds algebras
constructions. We begin with four-dimensional gauged maximal supergravity, and
build a generalized Lie derivative that encodes all the gauge transformations
of the theory. A generalized frame is introduced, which accommodates for all
the degrees of freedom, including the tensor hierarchy. The generalized Lie
derivative defines generalized field-dependent fluxes containing all the
covariant quantities in the theory, and the closure conditions give rise to
their corresponding Bianchi Identities. We then move towards the construction
of a full generalized Lie derivative defined on an extended space, analyze the
closure conditions, and explore the connection with that of maximal gauged
supergravity via a generalized Scherk-Schwarz reduction, and with
11-dimensional supergravity.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:10 GMT""},{""version"":""v2"",""created"":""Mon, 10 Mar 2014 11:22:56 GMT""}]","2015-02-23"
"1312.4550","Dan Mangoubi","Gabor Lippner, Dan Mangoubi","Harmonic functions on the lattice: Absolute monotonicity and propagation
  of smallness","20 pages; revised according to referees' comments; new references;
  two theorems added; simplified proof; conjecture restated; title changed;
  more friendly introduction","Duke Math. J. 164, no. 13 (2015), 2577-2595","10.1215/00127094-3164790",,"math.AP math.CO math.PR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work we establish a connection between two classical notions,
unrelated so far: Harmonic functions on the one hand and absolutely monotonic
functions on the other hand. We use this to prove convexity type and
propagation of smallness results for harmonic functions on the lattice.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:00:19 GMT""},{""version"":""v2"",""created"":""Sun, 12 Jan 2014 21:00:52 GMT""},{""version"":""v3"",""created"":""Tue, 14 Oct 2014 09:06:14 GMT""}]","2015-12-09"
"1312.4551","Aram Galstyan","Armen E. Allahverdyan and Aram Galstyan","Comparative Analysis of Viterbi Training and Maximum Likelihood
  Estimation for HMMs","Appeared in Neural Information Processing Systems (NIPS) 2011",,,,"stat.ML cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present an asymptotic analysis of Viterbi Training (VT) and contrast it
with a more conventional Maximum Likelihood (ML) approach to parameter
estimation in Hidden Markov Models. While ML estimator works by (locally)
maximizing the likelihood of the observed data, VT seeks to maximize the
probability of the most likely hidden state sequence. We develop an analytical
framework based on a generating function formalism and illustrate it on an
exactly solvable model of HMM with one unambiguous symbol. For this particular
model the ML objective function is continuously degenerate. VT objective, in
contrast, is shown to have only finite degeneracy. Furthermore, VT converges
faster and results in sparser (simpler) models, thus realizing an automatic
Occam's razor for HMM learning. For more general scenario VT can be worse
compared to ML but still capable of correctly recovering most of the
parameters.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:03:28 GMT""}]","2013-12-18"
"1312.4553","Lucian Harland-Lang","L.A. Harland-Lang, V.A. Khoze, M.G. Ryskin","Modeling exclusive meson pair production at hadron colliders","26 pages, 3 tables, 10 figures. Version accepted for publication in
  EPJC. Some discussion clarified, results section extended, KK plots updated.
  Footnote 5 added to describe small error in cross section normalization",,"10.1140/epjc/s10052-014-2848-9","IPPP/13/102, DCPT/13/204","hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a study of the central exclusive production of light meson pairs,
concentrating on the region of lower invariant masses of the central system
and/or meson transverse momentum, where perturbative QCD cannot be reliably
applied. We describe in detail a phenomenological model, using the tools of
Regge theory, that may be applied with some success in this regime, and we
present the new, publicly available, Dime Monte Carlo (MC) implementation of
this for $\pi\pi$, $KK$ and $\rho\rho$ production. The MC includes a fully
differential treatment of the survival factor, which in general depends on all
kinematic variables, as well as allowing for the so far reasonably
unconstrained model parameters to be set by the user. We present predictions
for the Tevatron and LHC and show how future measurements may further test this
Regge--based approach, as well as the soft hadronic model required to calculate
the survival factor, in particular in the presence of tagged protons.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:04:18 GMT""},{""version"":""v2"",""created"":""Wed, 9 Apr 2014 15:45:57 GMT""},{""version"":""v3"",""created"":""Thu, 29 May 2014 13:13:15 GMT""},{""version"":""v4"",""created"":""Mon, 21 Jul 2014 16:37:05 GMT""}]","2015-04-14"
"1312.4554","Giles Shaw","Filip Rindler and Giles Shaw","Strictly continuous extension of functionals with linear growth to the
  space BV","-24 pages. -Removed Theorem 2 and Lemma 18, as they were incorrect.
  -Corrected the proof of the strict continuity of the lifting map in Section 3
  via the addition of two new lemmas. -Changed the perspective integrand under
  consideration back to a simpler one which just preserves continuity",,,,"math.AP math.FA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The main result of this paper is a proof of the continuity of a family of
integral functionals defined on the space of functions of bounded variation
with respect to a topology under which smooth functions are dense. These
functionals occur often in the Calculus of Variations as the extension of
integral problems defined over weakly differentiable functions with linear
growth, and the result in this paper sheds light on the question of what the
'correct' extension is in this context. The result is proved via a combination
of Reshetnyak's Continuity Theorem and a map assigning a lifting
$\mu[u]\in\mathbf{M}(\Omega\times\mathbb{R}^m;\mathbb{R}^{m\times d})$ to each
$u\in BV(\Omega;\mathbb{R}^{m})$ and is valid for a large class of integrands
satisfying $|f(x,y,A)|\leq C(1+|y|^{d/(d-1)}+|A|)$. In the case where $f$
exhibits $d/(d-1)$ growth in the $y$ variable, an embedding result from the
theory of concentration-compactness is needed.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:04:28 GMT""},{""version"":""v2"",""created"":""Fri, 28 Mar 2014 16:24:05 GMT""},{""version"":""v3"",""created"":""Thu, 20 Nov 2014 23:18:40 GMT""}]","2014-11-24"
"1312.4555","Yurii Chernyakov","Yu.B. Chernyakov and A.S. Sorin","Semi-invariants and Integrals of the Full Symmetric sl(n) Toda Lattice","28 pages, 3 figures",,,,"nlin.SI math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider the full symmetric version of the Lax operator of the Toda
lattice which is known as the full symmetric Toda lattice. The phase space of
this system is the generic orbit of the coadjoint action of the Borel subgroup
B^+(n) of SL(n,R). This system is integrable. We propose a new method of
constructing semi-invariants and integrals of the full symmetric Toda lattice.
Using only the Toda equations for the Lax eigenvector matrix we prove the
existence of the semi-invariants which are Plucker coordinates in the
corresponding projective spaces. Then we use these semi-invariants to construct
the integrals. It is known that the full symmetric sl(n) Toda lattice has
additional integrals which can be produced by Kostant procedure except for the
integrals which can be derived by the chopping procedure. Altogether these
integrals constitute a full set of the independent non-involutive integrals.
Yet the unsolved complicated technical problem is their explicit derivation
since Kostant procedure has crucial computational complexities even for
low-rank Lax matrices and is practically unapplicable for higher ranks. Our new
approach provides a resolution of this problem and results in simple explicit
formulae for the full set of independent semi-invariants and integrals
expressed both in terms of the Lax matrix and its eigenvector and eigenvalue
matrices of the full symmetric sl(n) Toda lattice without using the chopping
and Kostant procedures. We also describe the structure of the additional
integrals of motion as functions on the flag space modulo the Toda flows and
show how Plucker coordinates of different projective spaces define different
families of the additional integrals. In this paper we present detailed proofs
of the propositions of [24].
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:04:34 GMT""}]","2013-12-19"
"1312.4556","Hrayr Matevosyan","Hrayr H. Matevosyan, Aram Kotzinian and Anthony W. Thomas","Studies of Azimuthal Modulations in Two Hadron Fragmentation of a
  Transversely Polarised Quark","10 pages, 12 figures - small updates and added references, to comply
  with the version to be published in PLB","Phys.Lett.B731:208-216,2014","10.1016/j.physletb.2014.02.040","ADP-13-35/T855","hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the azimuthal modulations of dihadron fragmentation functions
(DiFFs) of a transversely polarised quark using an NJL-jet based model that
incorporates the Collins effect for single hadron emission. The DiFFs are
extracted as Monte Carlo (MC) averages of corresponding multiplicities using
their probabilistic interpretation. To simplify the model and highlight the
possible mechanisms that create this modulation, we choose the elementary
Collins function to be proportional to the elementary unpolarised fragmentation
and a constant probability ($P_{SF}$) for the quark to flip its spin after a
single hadron emission. Moreover, as a leading order calculation, only one of
the produced hadrons in the decay chain of the quark is produced with
elementary Collins modulation. We calculate the dependence of the polarised
DiFFs on various angles such as the azimuthal angle of the single hadron and
the angle of the two hadron production plane $\varphi_R$ for several values of
$P_{SF}$. We observe that the polarised DiFFs for oppositely charged pion pairs
exhibit a $\sin(\varphi_R)$ modulation. This effect is induced purely via the
elementary Collins effect and persists even when the quark completely
depolarises after a single hadron emission ($P_{SF}=0.5$). Moreover, similar
sine modulations are present in the distribution of pion pairs with respect to
the azimuthal angle of their total transverse momentum, $\varphi_T$.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:06:59 GMT""},{""version"":""v2"",""created"":""Tue, 18 Feb 2014 21:53:30 GMT""}]","2014-03-11"
"1312.4557","Laszlo Pusztai","Z. Steinczinger, L. Pusztai","Comparison of the TIP4P-2005, SWM4-DP and BK3 interaction potentials of
  liquid water with respect to their consistency with neutron and X-ray
  diffraction data of pure water","8 pages, 3 figures. arXiv admin note: text overlap with
  arXiv:1207.3271","Condens. Matter Phys., 2013, vol. 16, No. 4, 43604:1-8","10.5488/CMP.16.43604",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Following a fairly comprehensive study on popular interaction potentials of
water (Pusztai et al., J. Chem. Phys., 2008, 129, 184103), here two more recent
polarizable potential sets, SWM4-DP (Lamoureux et al., Chem. Phys. Lett., 2006,
418, 245) and BK3 (Kiss et al., J. Chem. Phys., 2013, 138, 204507) are compared
to the TIP4P-2005 water potential (Abascal et al., J. Chem. Phys., 2005, 123,
234505) that had previously appeared to be most favoravble. The basis of
comparison was the compatibility with the results of neutron and X-ray
diffraction experiments on pure water, using the scheme applied by Pusztai et
al. (2008). The scheme combines the experimental total scattering structure
factors (TSSF) and partial radial distribution functions (PRDF) from molecular
dynamics simulations in a single structural model. Goodness-of-fit values to
the O-O, O-H and H-H simulated PRDF-s and to the experimental neutron and X-ray
TSSF provided a measure that can characterize the level of consistency between
interaction potentials and diffraction experiments. Among the sets of partial
RDF-s investigated here, the ones corresponding to the SWM4-DP potential
parameters have proven to be the most consistent with the particular
diffraction results taken for the present study, by a hardly significant margin
ahead of BK3. Perhaps more importantly, it is shown that the three sets of
potential parameters produce nearly equivalent PRDF-s that may all be made
consistent with diffraction data at a very high level. The largest differences
can be detected in terms of the O-O partial radial distribution function.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:09:28 GMT""}]","2013-12-18"
"1312.4558","Juan Felipe  Carrasquilla Alvarez","Andrea Di Ciolo and Juan Carrasquilla and Federico Becca and Marcos
  Rigol and Victor Galitski","Spiral antiferromagnets beyond the spin-wave approximation: frustrated
  $XY$ and Heisenberg models in the honeycomb lattice","10 pages, 10 figures, 4 tables","Phys. Rev. B 89, 094413 (2014)","10.1103/PhysRevB.89.094413",,"cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We examine the stability of classical states with a generic incommensurate
spiral order against quantum fluctuations. Specifically, we focus on the
frustrated spin-1/2 $XY$ and Heisenberg models on the honeycomb lattice with
nearest-neighbor $J_1$ and next-nearest-neighbor $J_2$ antiferromagnetic
couplings. Our variational approach is based on the Jastrow wave functions,
which include quantum correlations on top of classical spin waves. We perform a
systematic optimization of wave vectors and Jastrow pseudo-potentials within
this class of variational states and find that quantum fluctuations favor
collinear states over generic coplanar spirals. The N\'eel state with ${\bf
Q}=(0,0)$ extends its stability well beyond the classical value $J_2/J_1=1/6$.
Most importantly, the collinear states with ${\bf Q}=(0,2\pi/\sqrt{3})$ (and
the two symmetry-related states) are found to be stable in a large regime with
intermediate frustration, while at the classical level they are limited to the
point $J_2/J_1=0.5$. For large frustration, the $120^\circ$ state is stabilized
for finite values of $J_2/J_1$ in both models.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:13:00 GMT""},{""version"":""v2"",""created"":""Sat, 29 Mar 2014 00:05:07 GMT""}]","2014-04-01"
"1312.4559","Tomaz Urbic","T. Urbic","Two-dimensional core-softened model with water like properties. Study by
  thermodynamic perturbation theory","7 pages, 6 figures","Condens. Matter Phys., 2013, vol. 16, No. 4, 43605:1-7","10.5488/CMP.16.43605",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Thermodynamic properties of the particles interacting through smooth version
of Stell-Hemmer interaction were studied using Wertheim's thermodynamic
perturbation theory. The temperature dependence of molar volume, heat capacity,
isothermal compressibility and thermal expansion coefficient at constant
pressure for different number of bonding sites on particle were evaluated. The
model showed water-like anomalies for all evaluated quantities, but
thermodynamic perturbation theory does not properly predict the dependence of
these properties at a fixed number of bonding points.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:16:07 GMT""}]","2013-12-18"
"1312.4560","Konstadinos Sfetsos","Konstadinos Sfetsos","Integrable interpolations: From exact CFTs to non-Abelian T-duals","33 pages, Latex, V2: NPB version, minor changes and some references
  added, V3: typos below eq. (2.12) and in eq. (A.1) corrected",,"10.1016/j.nuclphysb.2014.01.004","DMUS--MP--13/23","hep-th math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We derive two new classes of integrable theories interpolating between exact
CFT WZW or gauged WZW models and non-Abelian T-duals of principal chiral models
or geometric coset models. They are naturally constructed by gauging symmetries
of integrable models. Our analysis implies that non-Abelian T-duality preserves
integrability and suggests a novel way to understand the global properties of
the corresponding backgrounds.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:16:40 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 2014 06:57:56 GMT""},{""version"":""v3"",""created"":""Sun, 9 Mar 2014 21:52:12 GMT""}]","2014-03-11"
"1312.4561","Francesco Bigazzi","Francesco Bigazzi, Aldo L. Cotrone, Luca Griguolo, Domenico Seminara","A novel cross-check of localization and non conformal holography","9 pages, latex; v2:13 pages. A Section on the fractional brane setup
  has been added. Clarifications and references added; v3: published version,
  references added","JHEP 1403 (2014) 072","10.1007/JHEP03(2014)072","IFUP-TH/2013-25","hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We precisely reproduce the perimeter law obeyed by Wilson loops on large
spatial contours in planar N=2 SYM at strong coupling, as recently deduced
using localization, by means of a dual holographic model. The relevant
supergravity background is sourced by D5-branes wrapped on a two-sphere in a
Calabi-Yau two-manifold. Thus, localization and holography are cross-checked,
for the first time, in a non conformal context where the gravity background is
not asymptotically Anti de Sitter and the dual gauge theory has a
logarithmically running coupling. We also notice that the same cross-check can
be performed considering an alternative holographic description of N=2 SYM
based on a background sourced by fractional D3-branes.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:19:36 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 2014 15:38:49 GMT""},{""version"":""v3"",""created"":""Thu, 17 Jul 2014 06:46:33 GMT""}]","2014-07-18"
"1312.4562","Taras Hvozd","Yu.V. Kalyuzhnyi, T.V. Hvozd","Closed-loop liquid-liquid immiscibility in mixture of particles with
  spherically symmetric interaction","11 pages, 5 figures","Condens. Matter Phys., 2013, vol. 16, No. 4, 43606:1-11","10.5488/CMP.16.43606",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Thermodynamic perturbation theory for central-force (TPT-CF) type of
associating potential is used to study the phase behavior of symmetric binary
mixture of associating particles with spherically symmetric interaction. The
model is represented by the binary Yukawa hard-sphere mixture with additional
spherically symmetric square-well associative interaction located inside the
hard-core region and valid only between dissimilar species. To account for the
change of the system packing fraction due to association we propose an extended
version of the TPT-CF approach. In addition to the already known four types of
the phase diagram for binary mixtures we were able to identify the fifth type,
which is characterized by the absence of intersection of the $\lambda$-line
with the liquid-vapour binodals and by the appearance of the closed- loop
liquid-liquid immiscibility with upper and lower critical solution
temperatures.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 21:20:13 GMT""}]","2013-12-18"
